OID_,Number,Name,Latitude,Longitude,District,Public_,Total_docks,shape_wkt,POINT_X,POINT_Y
183,M32050,Verizon Innovation Hub 10 Ware Street,42.372508650000000,-71.113053559999997,Cambridge,Yes,19,POINT (-71.113053559999969 42.372508650000043),-71.113053559999969,42.372508650000043
184,T32017,Vinnin Square,42.486287849999997,-70.901667329999995,Salem,Yes,11,POINT (-70.901667329999952 42.486287850000053),-70.901667329999952,42.486287850000053
185,C32029,W Broadway at D St,42.339108500000002,-71.051443199999994,Boston,Yes,20,POINT (-71.051443199999937 42.339108500000066),-71.051443199999937,42.339108500000066
186,C32016,W Broadway at Dorchester St,42.335958980000001,-71.046228999999997,Boston,Yes,17,POINT (-71.046228999999983 42.335958980000044),-71.046228999999983,42.335958980000044
187,C32102,Walnut Ave at School St,42.312423989999999,-71.096169050000000,Boston,Yes,19,POINT (-71.096169049999958 42.31242399000007),-71.096169049999958,42.312423990000070
188,D32021,Warren St at Chelsea St,42.371848000000000,-71.060292000000004,Boston,Yes,23,POINT (-71.060291999999947 42.371848000000057),-71.060291999999947,42.371848000000057
189,K32011,Washington Sq,42.339858270000001,-71.134211710000002,Brookline,Yes,15,POINT (-71.134211709999988 42.339858270000036),-71.134211709999988,42.339858270000036
190,S32043,Washington St @ New Washington St (Temp Winter Station),42.381037319999997,-71.087097790000001,Somerville,Yes,15,POINT (-71.087097789999973 42.381037320000075),-71.087097789999973,42.381037320000075
191,D32029,Washington St at Brock St,42.348952850000003,-71.160316769999994,Boston,Yes,15,POINT (-71.160316769999952 42.348952850000046),-71.160316769999952,42.348952850000046
192,N32001,Washington St at Crafts St,42.353890239999998,-71.199437070000002,Newton,Yes,11,POINT (-71.199437069999988 42.353890240000055),-71.199437069999988,42.353890240000055
193,C32005,Washington St at Lenox St,42.335098989999999,-71.079037790000001,Boston,Yes,15,POINT (-71.079037789999973 42.335098990000063),-71.079037789999973,42.335098990000063
194,B32026,Washington St at Melnea Cass Blvd,42.332816999999999,-71.081198000000001,Boston,Yes,19,POINT (-71.081197999999972 42.332817000000034),-71.081197999999972,42.332817000000034
